date,deaths,cases
2020-01-24,0,0
2020-01-25,0,1
2020-01-26,0,0
2020-01-27,0,3
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,1
2020-01-31,0,0
2020-02-01,0,2
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,3
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,1
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,1
2020-02-13,0,0
2020-02-14,0,1
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,2
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,1
2020-02-29,0,0
2020-03-01,1,8
2020-03-02,0,7
2020-03-03,5,23
2020-03-04,1,19
2020-03-05,4,33
2020-03-06,1,77
2020-03-07,2,53
2020-03-08,3,166
2020-03-09,4,116
2020-03-10,1,75
2020-03-11,6,188
2020-03-12,5,368
2020-03-13,10,440
2020-03-14,8,632
2020-03-15,7,764
2020-03-16,12,244
2020-03-17,27,1456
2020-03-18,36,1839
2020-03-19,59,2655
2020-03-20,72,4493
2020-03-21,103,6366
2020-03-22,99,6004
2020-03-23,110,8812
2020-03-24,187,11231
2020-03-25,241,10612
2020-03-26,326,12075
2020-03-27,412,17840
2020-03-28,521,18680
2020-03-29,635,19607
2020-03-30,592,18879
2020-03-31,697,22082
2020-04-01,1091,26316
2020-04-02,1181,25883
2020-04-03,1503,30387
2020-04-04,1396,31970
2020-04-05,1541,33015
2020-04-06,1573,28197
2020-04-07,1777,30173
2020-04-08,2572,31410
2020-04-09,2153,32195
2020-04-10,2219,34582
2020-04-11,2227,33485
2020-04-12,2125,29308
2020-04-13,1814,26927
2020-04-14,1944,25809
2020-04-15,2447,28564
2020-04-16,2608,30165
2020-04-17,2167,31401
2020-04-18,2091,32669
2020-04-19,1967,27927
2020-04-20,1935,25689
2020-04-21,2185,28420
2020-04-22,2544,26060
2020-04-23,2440,29314
2020-04-24,2466,33184
2020-04-25,2158,33751
2020-04-26,1703,31572
2020-04-27,1336,26844
2020-04-28,1466,23187
2020-04-29,2236,24661
2020-04-30,2526,27811
2020-05-01,2416,29487
2020-05-02,1879,34240
2020-05-03,1686,27764
2020-05-04,1109,24457
2020-05-05,1319,23382
2020-05-06,2293,24510
2020-05-07,2344,25089
2020-05-08,1929,27736
2020-05-09,1743,26749
2020-05-10,1540,24948
2020-05-11,905,18871
2020-05-12,1006,19427
2020-05-13,1617,22725
2020-05-14,1747,20963
2020-05-15,1783,27158
2020-05-16,1665,25255
2020-05-17,1271,24016
2020-05-18,753,18315
2020-05-19,1172,21987
2020-05-20,1519,21055
2020-05-21,1518,23062
2020-05-22,1204,25865
2020-05-23,1244,23311
2020-05-24,1134,21103
2020-05-25,619,19946
2020-05-26,561,18347
2020-05-27,663,19451
2020-05-28,1504,18533
2020-05-29,1184,22868
2020-05-30,1162,24255
2020-05-31,956,23816
2020-06-01,691,19037
2020-06-02,781,16928
2020-06-03,1039,21389
2020-06-04,994,20006
2020-06-05,1006,21368
2020-06-06,898,25349
2020-06-07,700,21405
2020-06-08,443,17662
2020-06-09,499,17492
2020-06-10,929,18361
2020-06-11,898,20951
2020-06-12,856,23042
2020-06-13,823,24914
2020-06-14,774,25268
2020-06-15,317,19019
2020-06-16,387,19456
2020-06-17,823,23693
2020-06-18,728,26499
2020-06-19,705,27867
2020-06-20,662,30981
2020-06-21,609,31917
2020-06-22,296,25968
2020-06-23,389,30676
2020-06-24,839,36208
2020-06-25,762,34426
2020-06-26,548,40356
2020-06-27,624,45353
2020-06-28,503,41359
2020-06-29,285,40409
2020-06-30,390,40057
2020-07-01,639,45980
2020-07-02,691,51488
2020-07-03,722,55588
2020-07-04,659,51841
2020-07-05,280,45549
2020-07-06,297,49580
2020-07-07,364,44162
2020-07-08,1210,60755
2020-07-09,855,59740
2020-07-10,999,62567
2020-07-11,819,67859
2020-07-12,703,60038
2020-07-13,470,59085
2020-07-14,374,58793
2020-07-15,912,67427
2020-07-16,973,67635
2020-07-17,963,77102
2020-07-18,917,71672
2020-07-19,867,62470
2020-07-20,462,60716
2020-07-21,535,61477
2020-07-22,1107,64239
2020-07-23,1207,71915
2020-07-24,1098,68511
2020-07-25,1148,73208
2020-07-26,873,65375
2020-07-27,499,54864
2020-07-28,1130,55947
2020-07-29,1370,65785
2020-07-30,1413,71832
2020-07-31,1216,67599
2020-08-01,1245,67911
2020-08-02,1111,57839
2020-08-03,412,46269
2020-08-04,551,44567
2020-08-05,1356,57283
2020-08-06,1382,54433
2020-08-07,1247,59481
2020-08-08,1236,58322
2020-08-09,1089,54449
2020-08-10,519,46369
2020-08-11,542,48733
2020-08-12,1049,46910
2020-08-13,1510,56811
2020-08-14,1060,51742
2020-08-15,1340,64764
2020-08-16,1030,46790
2020-08-17,580,41181
2020-08-18,448,36484
2020-08-19,1323,45034
2020-08-20,1330,47393
2020-08-21,1087,44087
2020-08-22,1103,48253
2020-08-23,980,43653
2020-08-24,461,34510
2020-08-25,445,36432
2020-08-26,1219,39979
2020-08-27,1222,45520
2020-08-28,1098,45120
2020-08-29,969,46929
2020-08-30,842,45414
2020-08-31,436,34787
2020-09-01,597,35138
2020-09-02,1059,41677
2020-09-03,1042,40951
2020-09-04,1062,43781
2020-09-05,967,50129
2020-09-06,767,43192
2020-09-07,405,31511
2020-09-08,277,23545
2020-09-09,450,26845
2020-09-10,1178,33895
2020-09-11,912,36066
2020-09-12,1203,47439
2020-09-13,709,41003
2020-09-14,389,34305
2020-09-15,422,33842
2020-09-16,1288,39385
2020-09-17,984,38460
2020-09-18,870,44922
2020-09-19,920,48750
2020-09-20,710,42512
2020-09-21,241,38444
2020-09-22,426,51495
2020-09-23,1021,39482
2020-09-24,1089,38581
2020-09-25,914,45710
2020-09-26,939,48054
2020-09-27,750,44394
2020-09-28,282,37280
2020-09-29,325,32284
2020-09-30,903,42692
2020-10-01,937,41196
2020-10-02,850,45357
2020-10-03,931,54469
2020-10-04,680,48627
2020-10-05,350,36092
2020-10-06,465,38835
2020-10-07,702,43949
2020-10-08,925,50641
2020-10-09,968,58329
2020-10-10,961,55994
2020-10-11,632,54074
2020-10-12,424,45948
2020-10-13,338,40523
2020-10-14,799,52879
2020-10-15,995,59473
2020-10-16,819,64358
2020-10-17,904,68449
2020-10-18,749,56954
2020-10-19,435,49354
2020-10-20,467,66869
2020-10-21,934,61088
2020-10-22,1160,63026
2020-10-23,855,75335
2020-10-24,952,80987
2020-10-25,939,82821
2020-10-26,381,61802
2020-10-27,498,66504
2020-10-28,968,76001
2020-10-29,1014,78684
2020-10-30,968,90168
2020-10-31,1027,98519
2020-11-01,879,88937
2020-11-02,414,75571
2020-11-03,539,83487
2020-11-04,1577,124553
2020-11-05,1096,102873
2020-11-06,1147,126190
2020-11-07,1191,125708
2020-11-08,1007,128036
2020-11-09,479,110026
2020-11-10,694,121210
2020-11-11,1384,137694
2020-11-12,1421,143649
2020-11-13,1205,161147
2020-11-14,1165,177568
2020-11-15,1261,166750
2020-11-16,633,135941
2020-11-17,745,157820
2020-11-18,1697,160574
2020-11-19,1886,170513
2020-11-20,1977,188033
2020-11-21,1896,195518
2020-11-22,1428,178097
2020-11-23,901,142807
2020-11-24,927,171515
2020-11-25,2147,172988
2020-11-26,2282,181287
2020-11-27,1226,110654
2020-11-28,1407,205514
2020-11-29,1193,155880
2020-11-30,825,138633
2020-12-01,1185,157851
2020-12-02,2594,180637
2020-12-03,2794,200107
2020-12-04,2866,217680
2020-12-05,2591,227828
2020-12-06,2239,213881
2020-12-07,1106,175664
2020-12-08,1406,192435
2020-12-09,2530,215878
2020-12-10,3105,221267
2020-12-11,2739,224452
2020-12-12,3300,231775
2020-12-13,2352,219510
2020-12-14,1389,190920
